event_id,home_team,away_team,first_leg_outcome,opposite_outcome,current_first_fair_prob,current_opposite_fair_prob,entry_edge,opposite_target_gap,hit_probability,expected_pnl_per_contract,net_locked_profit_if_hit,signal,reasons,latest_age_seconds
51176769d0f89d3e39adc8e90922f84d,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,0.6822743898953485,0.31772561010465156,0.2822743898953485,-0.08227438989534847,1.0,0.19499999999999995,0.19499999999999995,paper_trade_candidate,passes_baseline_filters,6.597503
7e2d40a6d3b163e318b7abbe026c40c1,New York Knicks,Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,0.6553618117598006,0.34463818824019943,0.25536181175980055,-0.055361811759800594,1.0,0.19499999999999995,0.19499999999999995,paper_trade_candidate,passes_baseline_filters,6.666235
7e2d40a6d3b163e318b7abbe026c40c1,New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,New York Knicks,0.34463818824019943,0.6553618117598006,-0.055361811759800594,0.25536181175980055,0.0,-0.055361811759800594,0.19499999999999995,reject,target_hit_probability_low|first_leg_price_above_fair_value|expected_pnl_not_positive,6.631898
51176769d0f89d3e39adc8e90922f84d,Oklahoma City Thunder,San Antonio Spurs,San Antonio Spurs,Oklahoma City Thunder,0.31772561010465156,0.6822743898953485,-0.08227438989534847,0.2822743898953485,0.0,-0.0822743898953485,0.19499999999999995,reject,target_hit_probability_low|first_leg_price_above_fair_value|expected_pnl_not_positive,6.597515
