event_id,hit_second_leg,first_hit_minute,final_opposite_prob,first_leg_wins_if_unhedged,pnl_per_contract
sim_000110,False,,0.5468607419964402,True,0.6
sim_000111,False,,0.4856066422517237,True,0.6
sim_000112,False,,0.5980921773998545,True,0.6
sim_000113,False,,0.5849299618747393,False,-0.4
sim_000114,False,,0.43050086726426706,True,0.6
sim_000115,False,,0.6452664430217913,False,-0.4
sim_000116,False,,0.6409095190332151,True,0.6
sim_000117,False,,0.5860945467402547,False,-0.4
sim_000118,False,,0.5494185446571991,True,0.6
sim_000119,False,,0.6986480979188777,False,-0.4
sim_000120,False,,0.6499806167521617,True,0.6
sim_000121,False,,0.644408921545851,False,-0.4
sim_000122,False,,0.7844465372319112,False,-0.4
sim_000123,False,,0.5616807236749045,True,0.6
sim_000124,False,,0.6514210781992927,False,-0.4
sim_000125,False,,0.5543010645265973,True,0.6
sim_000126,False,,0.5892638211183482,False,-0.4
sim_000127,False,,0.6854898619571131,False,-0.4
sim_000128,False,,0.6699131905752443,True,0.6
sim_000129,False,,0.5769923561654291,False,-0.4
sim_000130,False,,0.7398338170348094,False,-0.4
sim_000131,False,,0.5077844700742914,False,-0.4
sim_000132,False,,0.5757263954681482,False,-0.4
sim_000133,False,,0.5837292118940128,False,-0.4
sim_000134,False,,0.7168754771082791,False,-0.4
sim_000135,False,,0.6404078420652711,False,-0.4
sim_000136,False,,0.6181194950624964,True,0.6
sim_000137,False,,0.5711342510440773,True,0.6
sim_000138,False,,0.6573634537953817,False,-0.4
sim_000139,False,,0.7640831544429515,True,0.6
sim_000140,False,,0.7133760585830344,False,-0.4
sim_000141,False,,0.6339826808697417,False,-0.4
sim_000142,False,,0.7202227867797855,False,-0.4
sim_000143,False,,0.6268451744279931,False,-0.4
sim_000144,False,,0.5292010725452474,True,0.6
sim_000145,False,,0.6001622459610613,False,-0.4
sim_000146,False,,0.6222958828235331,True,0.6
sim_000147,False,,0.5688263096711884,False,-0.4
sim_000148,False,,0.6622713722577497,True,0.6
sim_000149,False,,0.6464730968427377,False,-0.4
sim_000150,False,,0.6965556075807479,True,0.6
sim_000151,False,,0.6184898891516387,False,-0.4
sim_000152,False,,0.6079066236787799,True,0.6
sim_000153,False,,0.6013950022460641,False,-0.4
sim_000154,False,,0.5889254362323361,True,0.6
sim_000155,False,,0.5632421739248054,False,-0.4
sim_000156,False,,0.6444366895165612,True,0.6
sim_000157,False,,0.6486783399486324,False,-0.4
sim_000158,False,,0.6043004256814447,True,0.6
sim_000159,False,,0.4664045080097579,True,0.6
sim_000160,False,,0.5540128828100785,True,0.6
sim_000161,False,,0.6937742511947694,False,-0.4
sim_000162,False,,0.6413366815891576,False,-0.4
sim_000163,False,,0.5700038575453552,False,-0.4
sim_000164,False,,0.642689022672803,True,0.6
sim_000165,False,,0.5526801495601474,True,0.6
sim_000166,False,,0.49979908745623,False,-0.4
sim_000167,False,,0.5801362801867245,False,-0.4
sim_000168,False,,0.49163452802566726,True,0.6
sim_000169,False,,0.6075918762352502,False,-0.4
sim_000170,False,,0.7211572185215896,True,0.6
sim_000171,False,,0.5818931410679979,True,0.6
sim_000172,False,,0.5852976115908907,False,-0.4
sim_000173,False,,0.6592425502006521,True,0.6
